study_folder,file_name,n_rows,n_variables,total_missing,percent_missing_overall,mean_percent_missing_participant,range_percent_missing_participant,complete_cases,participants_85_percent_complete,intake_macros_computed
data,sub-4299_assay-microstructure_timepoint-a.csv,308,9,0,0,0,0% - 0%,308,1,No
data,sub-4299_assay-microstructure_timepoint-b.csv,128,9,0,0,0,0% - 0%,128,1,No
data,sub-42c5_assay-microstructure_cond-control.csv,81,18,648,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-42c5_assay-microstructure_cond-deprivaiton.csv,104,18,832,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-42ff_assay-microstructure_timepoint-a.csv,1,9,0,0,0,0% - 0%,1,1,No
data,sub-42ff_assay-microstructure_timepoint-b.csv,137,9,0,0,0,0% - 0%,137,1,No
data,sub-4325_assay-microstructure_timepoint-a.csv,62,9,0,0,0,0% - 0%,62,1,No
data,sub-4325_assay-microstructure_timepoint-b.csv,63,9,0,0,0,0% - 0%,63,1,No
data,sub-43c1_assay-microstructure_timepoint-a.csv,120,9,0,0,0,0% - 0%,120,1,No
data,sub-43c1_assay-microstructure_timepoint-b.csv,93,9,0,0,0,0% - 0%,93,1,No
data,sub-44e6_assay-microstructure_cond-control.csv,144,14,928,46.03,46.03,46.03% - 46.03%,0,0,No
data,sub-44e6_assay-microstructure_cond-deprivaiton.csv,95,14,623,46.84,46.84,46.84% - 46.84%,0,0,No
data,sub-44fa_assay-microstructure_cond-control.csv,80,18,640,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-44fa_assay-microstructure_cond-deprivaiton.csv,149,18,1192,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-46db_assay-microstructure_cond-control.csv,88,16,616,43.75,43.75,43.75% - 43.75%,0,0,No
data,sub-46db_assay-microstructure_cond-deprivaiton.csv,140,16,980,43.75,43.75,43.75% - 43.75%,0,0,No
data,sub-4750_assay-microstructure_cond-control.csv,88,18,704,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-4750_assay-microstructure_cond-deprivaiton.csv,195,18,1560,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-4769_assay-microstructure_cond-control.csv,127,18,1016,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-4769_assay-microstructure_cond-deprivaiton.csv,224,18,1792,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-4805_assay-microstructure_timepoint-a.csv,230,9,0,0,0,0% - 0%,230,1,No
data,sub-4805_assay-microstructure_timepoint-b.csv,209,9,0,0,0,0% - 0%,209,1,No
data,sub-4b22_assay-microstructure_timepoint-a.csv,133,9,0,0,0,0% - 0%,133,1,No
data,sub-4b22_assay-microstructure_timepoint-b.csv,152,9,0,0,0,0% - 0%,152,1,No
data,sub-4ca4_assay-microstructure_cond-control.csv,112,18,896,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-4ca4_assay-microstructure_cond-deprivaiton.csv,126,18,1016,44.8,44.8,44.8% - 44.8%,0,0,No
data,sub-4d17_assay-microstructure_timepoint-a.csv,92,9,0,0,0,0% - 0%,92,1,No
data,sub-4d17_assay-microstructure_timepoint-b.csv,82,9,0,0,0,0% - 0%,82,1,No
data,sub-5181_assay-microstructure_cond-control.csv,148,18,1184,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-5181_assay-microstructure_cond-deprivaiton.csv,123,18,984,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-5253_assay-microstructure_cond-control.csv,94,18,752,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-5253_assay-microstructure_cond-deprivaiton.csv,143,18,1144,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-5326_assay-microstructure_cond-control.csv,90,18,720,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-5326_assay-microstructure_cond-deprivaiton.csv,92,18,736,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-54a6_assay-microstructure_timepoint-a.csv,121,9,0,0,0,0% - 0%,121,1,No
data,sub-54a6_assay-microstructure_timepoint-b.csv,123,9,0,0,0,0% - 0%,123,1,No
data,sub-54b1_assay-microstructure_cond-control.csv,301,18,2336,43.12,43.12,43.12% - 43.12%,0,0,No
data,sub-54b1_assay-microstructure_cond-deprivaiton.csv,242,17,1684,40.93,40.93,40.93% - 40.93%,2,0,No
data,sub-570b_assay-microstructure_timepoint-a.csv,121,9,0,0,0,0% - 0%,121,1,No
data,sub-570b_assay-microstructure_timepoint-b.csv,123,9,0,0,0,0% - 0%,123,1,No
data,sub-57f5_assay-microstructure_timepoint-a.csv,492,9,0,0,0,0% - 0%,492,1,No
data,sub-57f5_assay-microstructure_timepoint-b.csv,275,9,0,0,0,0% - 0%,275,1,No
data,sub-5e48_assay-microstructure_cond-control.csv,68,18,544,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-5e48_assay-microstructure_cond-deprivaiton.csv,166,18,1322,44.24,44.24,44.24% - 44.24%,0,0,No
data,sub-60fa_assay-microstructure_cond-control.csv,60,18,480,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-60fa_assay-microstructure_cond-deprivaiton.csv,79,18,632,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-612c_assay-microstructure_timepoint-a.csv,113,9,0,0,0,0% - 0%,113,1,No
data,sub-612c_assay-microstructure_timepoint-b.csv,66,9,0,0,0,0% - 0%,66,1,No
data,sub-615a_assay-microstructure_cond-control.csv,162,18,1296,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-615a_assay-microstructure_cond-deprivaiton.csv,100,18,800,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-618a_assay-microstructure_cond-control.csv,59,18,472,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-618a_assay-microstructure_cond-deprivaiton.csv,77,18,616,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-61bd_assay-microstructure_cond-control.csv,90,18,720,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-61bd_assay-microstructure_cond-deprivaiton.csv,92,18,736,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-6517_assay-microstructure_cond-control.csv,60,18,480,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-6517_assay-microstructure_cond-deprivaiton.csv,79,18,632,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-6881_assay-microstructure_cond-control.csv,162,18,1296,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-6881_assay-microstructure_cond-deprivaiton.csv,100,18,800,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-68fb_assay-microstructure_timepoint-a.csv,113,9,0,0,0,0% - 0%,113,1,No
data,sub-68fb_assay-microstructure_timepoint-b.csv,66,9,0,0,0,0% - 0%,66,1,No
data,sub-6da2_assay-microstructure_cond-control.csv,137,18,1096,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-6da2_assay-microstructure_cond-deprivaiton.csv,157,18,1256,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-6fa9_assay-microstructure_timepoint-a.csv,161,9,0,0,0,0% - 0%,161,1,No
data,sub-6fa9_assay-microstructure_timepoint-b.csv,150,9,0,0,0,0% - 0%,150,1,No
data,sub-6fad_assay-microstructure_cond-control.csv,200,18,1600,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-6fad_assay-microstructure_cond-deprivaiton.csv,285,18,2235,43.57,43.57,43.57% - 43.57%,0,0,No
data,sub-761f_assay-microstructure_timepoint-a.csv,87,9,0,0,0,0% - 0%,87,1,No
data,sub-761f_assay-microstructure_timepoint-b.csv,139,9,0,0,0,0% - 0%,139,1,No
data,sub-779d_assay-microstructure_cond-control.csv,88,18,704,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-779d_assay-microstructure_cond-deprivaiton.csv,195,18,1560,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-79fb_assay-microstructure_timepoint-a.csv,92,9,0,0,0,0% - 0%,92,1,No
data,sub-79fb_assay-microstructure_timepoint-b.csv,82,9,0,0,0,0% - 0%,82,1,No
data,sub-7a53_assay-microstructure_cond-control.csv,127,18,1016,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-7a53_assay-microstructure_cond-deprivaiton.csv,224,18,1792,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-7d9e_assay-microstructure_cond-control.csv,80,18,640,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-7d9e_assay-microstructure_cond-deprivaiton.csv,56,18,448,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-7eba_assay-microstructure_cond-control.csv,114,18,912,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-7eba_assay-microstructure_cond-deprivaiton.csv,170,18,1360,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-7fab_assay-microstructure_cond-control.csv,114,18,912,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-7fab_assay-microstructure_cond-deprivaiton.csv,90,18,720,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-86cd_assay-microstructure_timepoint-a.csv,102,9,0,0,0,0% - 0%,102,1,No
data,sub-86cd_assay-microstructure_timepoint-b.csv,106,9,0,0,0,0% - 0%,106,1,No
data,sub-8a9b_assay-microstructure_cond-control.csv,60,18,480,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-8a9b_assay-microstructure_cond-deprivaiton.csv,56,18,448,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-8ac8_assay-microstructure_cond-control.csv,180,18,1440,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-8ac8_assay-microstructure_cond-deprivaiton.csv,184,18,1472,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-8b33_assay-microstructure_cond-control.csv,110,18,880,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-8b33_assay-microstructure_cond-deprivaiton.csv,97,18,776,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-8b39_assay-microstructure_timepoint-a.csv,62,9,0,0,0,0% - 0%,62,1,No
data,sub-8b39_assay-microstructure_timepoint-b.csv,63,9,0,0,0,0% - 0%,63,1,No
data,sub-8dbe_assay-microstructure_cond-control.csv,88,16,616,43.75,43.75,43.75% - 43.75%,0,0,No
data,sub-8dbe_assay-microstructure_cond-deprivaiton.csv,140,16,980,43.75,43.75,43.75% - 43.75%,0,0,No
data,sub-8e0c_assay-microstructure_cond-control.csv,131,18,1043,44.23,44.23,44.23% - 44.23%,0,0,No
data,sub-8e0c_assay-microstructure_cond-deprivaiton.csv,187,18,1496,44.44,44.44,44.44% - 44.44%,0,0,No
data,sub-93a2_assay-microstructure_cond-control.csv,170,18,1360,44.44,44.44,44.44% - 44.44%,0,0,No
