study,Dataset,Data group,# variables observed,Total data points,Total missing,% missing overall,Mean % missing by participant,Range of % missing by participant,# complete cases,# participants ≥85% complete
1992_eatdis_deprivation,sub-13c8_assay-microstructure_cond-deprivaiton.csv,All data,9,1665,0,0,0,0.00% - 0.00%,185,185
1992_eatdis_deprivation,sub-13c8_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,740,0,0,0,0.00% - 0.00%,185,185
1992_eatdis_deprivation,sub-159b_assay-microstructure_cond-control.csv,All data,10,1720,0,0,0,0.00% - 0.00%,172,172
1992_eatdis_deprivation,sub-159b_assay-microstructure_cond-control.csv,Questionnaire data,4,688,0,0,0,0.00% - 0.00%,172,172
1992_eatdis_deprivation,sub-159b_assay-microstructure_cond-deprivaiton.csv,All data,10,2230,0,0,0,0.00% - 0.00%,223,223
1992_eatdis_deprivation,sub-159b_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,892,0,0,0,0.00% - 0.00%,223,223
1992_eatdis_deprivation,sub-1cac_assay-microstructure_cond-control.csv,All data,10,970,0,0,0,0.00% - 0.00%,97,97
1992_eatdis_deprivation,sub-1cac_assay-microstructure_cond-control.csv,Questionnaire data,4,388,0,0,0,0.00% - 0.00%,97,97
1992_eatdis_deprivation,sub-1cac_assay-microstructure_cond-deprivaiton.csv,All data,10,1170,0,0,0,0.00% - 0.00%,117,117
1992_eatdis_deprivation,sub-1cac_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,468,0,0,0,0.00% - 0.00%,117,117
1992_eatdis_deprivation,sub-1f20_assay-microstructure_cond-control.csv,All data,10,800,0,0,0,0.00% - 0.00%,80,80
1992_eatdis_deprivation,sub-1f20_assay-microstructure_cond-control.csv,Questionnaire data,4,320,0,0,0,0.00% - 0.00%,80,80
1992_eatdis_deprivation,sub-1f20_assay-microstructure_cond-deprivaiton.csv,All data,10,1490,0,0,0,0.00% - 0.00%,149,149
1992_eatdis_deprivation,sub-1f20_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,596,0,0,0,0.00% - 0.00%,149,149
1992_eatdis_deprivation,sub-20e1_assay-microstructure_cond-control.csv,All data,10,810,0,0,0,0.00% - 0.00%,81,81
1992_eatdis_deprivation,sub-20e1_assay-microstructure_cond-control.csv,Questionnaire data,4,324,0,0,0,0.00% - 0.00%,81,81
1992_eatdis_deprivation,sub-20e1_assay-microstructure_cond-deprivaiton.csv,All data,10,1040,0,0,0,0.00% - 0.00%,104,104
1992_eatdis_deprivation,sub-20e1_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,416,0,0,0,0.00% - 0.00%,104,104
1992_eatdis_deprivation,sub-291b_assay-microstructure_cond-control.csv,All data,10,1440,0,0,0,0.00% - 0.00%,144,144
1992_eatdis_deprivation,sub-291b_assay-microstructure_cond-control.csv,Questionnaire data,4,576,0,0,0,0.00% - 0.00%,144,144
1992_eatdis_deprivation,sub-291b_assay-microstructure_cond-deprivaiton.csv,All data,10,1050,0,0,0,0.00% - 0.00%,105,105
1992_eatdis_deprivation,sub-291b_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,420,0,0,0,0.00% - 0.00%,105,105
1992_eatdis_deprivation,sub-2ed4_assay-microstructure_cond-control.csv,All data,10,910,0,0,0,0.00% - 0.00%,91,91
1992_eatdis_deprivation,sub-2ed4_assay-microstructure_cond-control.csv,Questionnaire data,4,364,0,0,0,0.00% - 0.00%,91,91
1992_eatdis_deprivation,sub-2ed4_assay-microstructure_cond-deprivaiton.csv,All data,10,900,0,0,0,0.00% - 0.00%,90,90
1992_eatdis_deprivation,sub-2ed4_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,360,0,0,0,0.00% - 0.00%,90,90
1992_eatdis_deprivation,sub-408d_assay-microstructure_cond-control.csv,All data,10,1230,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_deprivation,sub-408d_assay-microstructure_cond-control.csv,Questionnaire data,4,492,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_deprivation,sub-408d_assay-microstructure_cond-deprivaiton.csv,All data,10,1330,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_deprivation,sub-408d_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,532,0,0,0,0.00% - 0.00%,133,133
1992_eatdis_deprivation,sub-42c5_assay-microstructure_cond-control.csv,All data,10,810,0,0,0,0.00% - 0.00%,81,81
1992_eatdis_deprivation,sub-42c5_assay-microstructure_cond-control.csv,Questionnaire data,4,324,0,0,0,0.00% - 0.00%,81,81
1992_eatdis_deprivation,sub-42c5_assay-microstructure_cond-deprivaiton.csv,All data,10,1040,0,0,0,0.00% - 0.00%,104,104
1992_eatdis_deprivation,sub-42c5_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,416,0,0,0,0.00% - 0.00%,104,104
1992_eatdis_deprivation,sub-44e6_assay-microstructure_cond-control.csv,All data,8,1152,64,5.56,5.56,0.00% - 12.50%,80,144
1992_eatdis_deprivation,sub-44e6_assay-microstructure_cond-control.csv,Questionnaire data,3,432,64,14.81,14.81,0.00% - 33.33%,80,80
1992_eatdis_deprivation,sub-44e6_assay-microstructure_cond-deprivaiton.csv,All data,8,760,53,6.97,6.97,0.00% - 12.50%,42,95
1992_eatdis_deprivation,sub-44e6_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,3,285,53,18.6,18.6,0.00% - 33.33%,42,42
1992_eatdis_deprivation,sub-44fa_assay-microstructure_cond-control.csv,All data,10,800,0,0,0,0.00% - 0.00%,80,80
1992_eatdis_deprivation,sub-44fa_assay-microstructure_cond-control.csv,Questionnaire data,4,320,0,0,0,0.00% - 0.00%,80,80
1992_eatdis_deprivation,sub-44fa_assay-microstructure_cond-deprivaiton.csv,All data,10,1490,0,0,0,0.00% - 0.00%,149,149
1992_eatdis_deprivation,sub-44fa_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,596,0,0,0,0.00% - 0.00%,149,149
1992_eatdis_deprivation,sub-46db_assay-microstructure_cond-control.csv,All data,9,792,0,0,0,0.00% - 0.00%,88,88
1992_eatdis_deprivation,sub-46db_assay-microstructure_cond-control.csv,Questionnaire data,4,352,0,0,0,0.00% - 0.00%,88,88
1992_eatdis_deprivation,sub-46db_assay-microstructure_cond-deprivaiton.csv,All data,9,1260,0,0,0,0.00% - 0.00%,140,140
1992_eatdis_deprivation,sub-46db_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,560,0,0,0,0.00% - 0.00%,140,140
1992_eatdis_deprivation,sub-4750_assay-microstructure_cond-control.csv,All data,10,880,0,0,0,0.00% - 0.00%,88,88
1992_eatdis_deprivation,sub-4750_assay-microstructure_cond-control.csv,Questionnaire data,4,352,0,0,0,0.00% - 0.00%,88,88
1992_eatdis_deprivation,sub-4750_assay-microstructure_cond-deprivaiton.csv,All data,10,1950,0,0,0,0.00% - 0.00%,195,195
1992_eatdis_deprivation,sub-4750_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,780,0,0,0,0.00% - 0.00%,195,195
1992_eatdis_deprivation,sub-4769_assay-microstructure_cond-control.csv,All data,10,1270,0,0,0,0.00% - 0.00%,127,127
1992_eatdis_deprivation,sub-4769_assay-microstructure_cond-control.csv,Questionnaire data,4,508,0,0,0,0.00% - 0.00%,127,127
1992_eatdis_deprivation,sub-4769_assay-microstructure_cond-deprivaiton.csv,All data,10,2240,0,0,0,0.00% - 0.00%,224,224
1992_eatdis_deprivation,sub-4769_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,896,0,0,0,0.00% - 0.00%,224,224
1992_eatdis_deprivation,sub-4ca4_assay-microstructure_cond-control.csv,All data,10,1120,0,0,0,0.00% - 0.00%,112,112
1992_eatdis_deprivation,sub-4ca4_assay-microstructure_cond-control.csv,Questionnaire data,4,448,0,0,0,0.00% - 0.00%,112,112
1992_eatdis_deprivation,sub-4ca4_assay-microstructure_cond-deprivaiton.csv,All data,10,1260,8,0.63,0.63,0.00% - 80.00%,125,125
1992_eatdis_deprivation,sub-4ca4_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,504,2,0.4,0.4,0.00% - 50.00%,125,125
1992_eatdis_deprivation,sub-5181_assay-microstructure_cond-control.csv,All data,10,1480,0,0,0,0.00% - 0.00%,148,148
1992_eatdis_deprivation,sub-5181_assay-microstructure_cond-control.csv,Questionnaire data,4,592,0,0,0,0.00% - 0.00%,148,148
1992_eatdis_deprivation,sub-5181_assay-microstructure_cond-deprivaiton.csv,All data,10,1230,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_deprivation,sub-5181_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,492,0,0,0,0.00% - 0.00%,123,123
1992_eatdis_deprivation,sub-5253_assay-microstructure_cond-control.csv,All data,10,940,0,0,0,0.00% - 0.00%,94,94
1992_eatdis_deprivation,sub-5253_assay-microstructure_cond-control.csv,Questionnaire data,4,376,0,0,0,0.00% - 0.00%,94,94
1992_eatdis_deprivation,sub-5253_assay-microstructure_cond-deprivaiton.csv,All data,10,1430,0,0,0,0.00% - 0.00%,143,143
1992_eatdis_deprivation,sub-5253_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,572,0,0,0,0.00% - 0.00%,143,143
1992_eatdis_deprivation,sub-5326_assay-microstructure_cond-control.csv,All data,10,900,0,0,0,0.00% - 0.00%,90,90
1992_eatdis_deprivation,sub-5326_assay-microstructure_cond-control.csv,Questionnaire data,4,360,0,0,0,0.00% - 0.00%,90,90
1992_eatdis_deprivation,sub-5326_assay-microstructure_cond-deprivaiton.csv,All data,10,920,0,0,0,0.00% - 0.00%,92,92
1992_eatdis_deprivation,sub-5326_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,368,0,0,0,0.00% - 0.00%,92,92
1992_eatdis_deprivation,sub-54b1_assay-microstructure_cond-control.csv,All data,16,4816,1734,36,36,0.00% - 37.50%,12,12
1992_eatdis_deprivation,sub-54b1_assay-microstructure_cond-control.csv,Questionnaire data,4,1204,0,0,0,0.00% - 0.00%,301,301
1992_eatdis_deprivation,sub-54b1_assay-microstructure_cond-deprivaiton.csv,All data,17,4114,1684,40.93,40.93,0.00% - 47.06%,2,2
1992_eatdis_deprivation,sub-54b1_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,968,8,0.83,0.83,0.00% - 50.00%,238,238
1992_eatdis_deprivation,sub-5e48_assay-microstructure_cond-control.csv,All data,10,680,0,0,0,0.00% - 0.00%,68,68
1992_eatdis_deprivation,sub-5e48_assay-microstructure_cond-control.csv,Questionnaire data,4,272,0,0,0,0.00% - 0.00%,68,68
1992_eatdis_deprivation,sub-5e48_assay-microstructure_cond-deprivaiton.csv,All data,16,2656,990,37.27,37.27,0.00% - 37.50%,1,1
1992_eatdis_deprivation,sub-5e48_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,664,0,0,0,0.00% - 0.00%,166,166
1992_eatdis_deprivation,sub-60fa_assay-microstructure_cond-control.csv,All data,10,600,0,0,0,0.00% - 0.00%,60,60
1992_eatdis_deprivation,sub-60fa_assay-microstructure_cond-control.csv,Questionnaire data,4,240,0,0,0,0.00% - 0.00%,60,60
1992_eatdis_deprivation,sub-60fa_assay-microstructure_cond-deprivaiton.csv,All data,10,790,0,0,0,0.00% - 0.00%,79,79
1992_eatdis_deprivation,sub-60fa_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,316,0,0,0,0.00% - 0.00%,79,79
1992_eatdis_deprivation,sub-615a_assay-microstructure_cond-control.csv,All data,10,1620,0,0,0,0.00% - 0.00%,162,162
1992_eatdis_deprivation,sub-615a_assay-microstructure_cond-control.csv,Questionnaire data,4,648,0,0,0,0.00% - 0.00%,162,162
1992_eatdis_deprivation,sub-615a_assay-microstructure_cond-deprivaiton.csv,All data,10,1000,0,0,0,0.00% - 0.00%,100,100
1992_eatdis_deprivation,sub-615a_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,400,0,0,0,0.00% - 0.00%,100,100
1992_eatdis_deprivation,sub-618a_assay-microstructure_cond-control.csv,All data,10,590,0,0,0,0.00% - 0.00%,59,59
1992_eatdis_deprivation,sub-618a_assay-microstructure_cond-control.csv,Questionnaire data,4,236,0,0,0,0.00% - 0.00%,59,59
1992_eatdis_deprivation,sub-618a_assay-microstructure_cond-deprivaiton.csv,All data,10,770,0,0,0,0.00% - 0.00%,77,77
1992_eatdis_deprivation,sub-618a_assay-microstructure_cond-deprivaiton.csv,Questionnaire data,4,308,0,0,0,0.00% - 0.00%,77,77
1992_eatdis_deprivation,sub-61bd_assay-microstructure_cond-control.csv,All data,10,900,0,0,0,0.00% - 0.00%,90,90
1992_eatdis_deprivation,sub-61bd_assay-microstructure_cond-control.csv,Questionnaire data,4,360,0,0,0,0.00% - 0.00%,90,90
