study_folder,file_name,data_group,n_variables,total_data_points,total_missing,percent_missing_overall,percent_data_present,mean_percent_missing_participant,range_percent_missing_participant,complete_cases,participants_85_percent_complete
1992_eatdis_deprivation,sub-93a2_assay-microstructure_cond-control.csv,Other data,10,1700,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-93a2_assay-microstructure_cond-deprivaiton.csv,Other data,10,2610,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-94a3_assay-microstructure_cond-control.csv,Other data,8,288,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-94a3_assay-microstructure_cond-deprivaiton.csv,Other data,8,464,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-9bcd_assay-microstructure_cond-control.csv,Other data,10,1030,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-9bcd_assay-microstructure_cond-deprivaiton.csv,Other data,10,1030,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-9d89_assay-microstructure_cond-control.csv,Other data,10,1140,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-9d89_assay-microstructure_cond-deprivaiton.csv,Other data,10,1700,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-ab1d_assay-microstructure_cond-control.csv,Other data,10,590,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-ab1d_assay-microstructure_cond-deprivaiton.csv,Other data,10,770,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-ac90_assay-microstructure_cond-control.csv,Other data,10,280,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-ac90_assay-microstructure_cond-deprivaiton.csv,Other data,10,210,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-b22f_assay-microstructure_cond-control.csv,Other data,8,1152,64,5.56,94.44,6.35,6.35% - 6.35%,0,1
1992_eatdis_deprivation,sub-b22f_assay-microstructure_cond-deprivaiton.csv,Other data,8,760,53,6.97,93.03,7.97,7.97% - 7.97%,0,1
1992_eatdis_deprivation,sub-b615_assay-microstructure_cond-control.csv,Other data,10,1030,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-b615_assay-microstructure_cond-deprivaiton.csv,Other data,10,1030,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-b6d5_assay-microstructure_cond-control.csv,Other data,10,1700,0,0,100,0,0% - 0%,1,1
1992_eatdis_deprivation,sub-b6d5_assay-microstructure_cond-deprivaiton.csv,Other data,10,2610,0,0,100,0,0% - 0%,1,1
