study_folder,file_name,variable_name
1990_sociofeed_dannys_dinner,assay-intake_data.csv,total_pro_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,veg_sauce
1990_sociofeed_dannys_dinner,assay-intake_data.csv,veg_sauce_cal
1990_sociofeed_dannys_dinner,assay-intake_data.csv,veg_sauce_cho
1990_sociofeed_dannys_dinner,assay-intake_data.csv,veg_sauce_fat
1990_sociofeed_dannys_dinner,assay-intake_data.csv,veg_sauce_pro
1990_sociofeed_dannys_dinner,assay-intake_data.csv,water
1990_sss_age_yogurt,assay-demo_data.csv,agegroup
1990_sss_age_yogurt,assay-demo_data.csv,bmi
1990_sss_age_yogurt,assay-demo_data.csv,cvd_risk
1990_sss_age_yogurt,assay-demo_data.csv,dentures
1990_sss_age_yogurt,assay-demo_data.csv,eat
1990_sss_age_yogurt,assay-demo_data.csv,ei
1990_sss_age_yogurt,assay-demo_data.csv,eisc
1990_sss_age_yogurt,assay-demo_data.csv,id
1990_sss_age_yogurt,assay-demo_data.csv,lsi
1990_sss_age_yogurt,assay-demo_data.csv,meds
1990_sss_age_yogurt,assay-demo_data.csv,session
1990_sss_age_yogurt,assay-demo_data.csv,sex
1990_sss_age_yogurt,assay-demo_data.csv,upsitsc
1990_sss_age_yogurt,assay-demo_data.csv,zung
1990_sss_age_yogurt,assay-foodpref_data.csv,agegroup
1990_sss_age_yogurt,assay-foodpref_data.csv,banana_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,banana_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,banana_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,banana_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,bologna_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,bologna_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,bologna_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,bologna_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,broccoli_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,broccoli_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,broccoli_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,broccoli_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,celery_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,celery_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,celery_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,celery_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,cheddar_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,cheddar_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,cheddar_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,cheddar_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,cheeseburger_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,cheeseburger_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,cheeseburger_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,cheeseburger_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,cherry_pie_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,cherry_pie_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,cherry_pie_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,cherry_pie_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,choc_icecream_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,choc_icecream_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,choc_icecream_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,choc_icecream_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,cinn_roll_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,cinn_roll_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,cinn_roll_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,cinn_roll_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,cucumber_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,cucumber_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,cucumber_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,cucumber_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,diet_cola_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,diet_cola_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,diet_cola_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,diet_cola_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,fries_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,fries_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,fries_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,fries_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,gingerbread_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,gingerbread_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,gingerbread_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,gingerbread_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,grape_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,grape_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,grape_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,grape_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,grapefruit_juice_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,grapefruit_juice_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,grapefruit_juice_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,grapefruit_juice_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,id
1990_sss_age_yogurt,assay-foodpref_data.csv,jello_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,jello_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,jello_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,jello_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,lemon_pie_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,lemon_pie_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,lemon_pie_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,lemon_pie_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,lowf_cotcheese_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,lowf_cotcheese_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,lowf_cotcheese_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,lowf_cotcheese_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,onion_ring_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,onion_ring_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,onion_ring_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,onion_ring_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,orange_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,orange_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,orange_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,orange_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,peach_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,peach_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,peach_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,peach_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,peanut_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,peanut_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,peanut_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,peanut_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,pickle_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,pickle_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,pickle_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,pickle_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,pineapple_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,pineapple_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,pineapple_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,pineapple_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,pizza_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,pizza_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,pizza_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,pizza_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,potato_chip_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,potato_chip_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,potato_chip_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,potato_chip_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,salad_freq_eat
1990_sss_age_yogurt,assay-foodpref_data.csv,salad_like_change
1990_sss_age_yogurt,assay-foodpref_data.csv,salad_perc_cal
1990_sss_age_yogurt,assay-foodpref_data.csv,salad_taste
1990_sss_age_yogurt,assay-foodpref_data.csv,session
1990_sss_age_yogurt,assay-foodpref_data.csv,sex
